id,method,requirement,node,gold,subject,tool,category,decision,callerT,callerN,callerE,calleeT,calleeN,calleeE
1,de.java_chess.javaChess.GameController.-init-(Lde/java_chess/javaChess/game/Game;Lde/java_chess/javaChess/notation/GameNotation;Lde/java_chess/javaChess/engine/ChessEngine;Lde/java_chess/javaChess/board/Board;Lde/java_chess/javaChess/timer/GameTimer;)V,R0,inner,T,T,T,InnerPureSurroundedT,CT,1,0,0,5,0,0
2,de.java_chess.javaChess.GameController.-init-(Lde/java_chess/javaChess/game/Game;Lde/java_chess/javaChess/notation/GameNotation;Lde/java_chess/javaChess/engine/ChessEngine;Lde/java_chess/javaChess/board/Board;Lde/java_chess/javaChess/timer/GameTimer;)V,R1,inner,N,N,N,InnerPureSurroundedN,CN,0,1,0,0,5,0
3,de.java_chess.javaChess.GameController.-init-(Lde/java_chess/javaChess/game/Game;Lde/java_chess/javaChess/notation/GameNotation;Lde/java_chess/javaChess/engine/ChessEngine;Lde/java_chess/javaChess/board/Board;Lde/java_chess/javaChess/timer/GameTimer;)V,R2,inner,N,N,N,InnerPureSurroundedN,CN,0,1,0,0,5,0
4,de.java_chess.javaChess.GameController.-init-(Lde/java_chess/javaChess/game/Game;Lde/java_chess/javaChess/notation/GameNotation;Lde/java_chess/javaChess/engine/ChessEngine;Lde/java_chess/javaChess/board/Board;Lde/java_chess/javaChess/timer/GameTimer;)V,R3,inner,T,T,F,InnerBoundary,IT,0,1,0,5,0,0
5,de.java_chess.javaChess.GameController.-init-(Lde/java_chess/javaChess/game/Game;Lde/java_chess/javaChess/notation/GameNotation;Lde/java_chess/javaChess/engine/ChessEngine;Lde/java_chess/javaChess/board/Board;Lde/java_chess/javaChess/timer/GameTimer;)V,R4,inner,N,N,F,InnerBoundary,IN,1,0,0,0,5,0
6,de.java_chess.javaChess.GameController.-init-(Lde/java_chess/javaChess/game/Game;Lde/java_chess/javaChess/notation/GameNotation;Lde/java_chess/javaChess/engine/ChessEngine;Lde/java_chess/javaChess/board/Board;Lde/java_chess/javaChess/timer/GameTimer;)V,R5,inner,T,T,F,InnerBoundary,IT,0,1,0,5,0,0
7,de.java_chess.javaChess.GameController.-init-(Lde/java_chess/javaChess/game/Game;Lde/java_chess/javaChess/notation/GameNotation;Lde/java_chess/javaChess/engine/ChessEngine;Lde/java_chess/javaChess/board/Board;Lde/java_chess/javaChess/timer/GameTimer;)V,R6,inner,T,T,F,InnerBoundary,IT,0,1,0,5,0,0
8,de.java_chess.javaChess.GameController.-init-(Lde/java_chess/javaChess/game/Game;Lde/java_chess/javaChess/notation/GameNotation;Lde/java_chess/javaChess/engine/ChessEngine;Lde/java_chess/javaChess/board/Board;Lde/java_chess/javaChess/timer/GameTimer;)V,R7,inner,N,N,N,InnerPureSurroundedN,CN,0,1,0,0,5,0
9,de.java_chess.javaChess.GameController.computerPly()Z,R0,inner,T,T,T,InnerPureSurroundedT,CT,1,0,0,4,0,0
10,de.java_chess.javaChess.GameController.computerPly()Z,R1,inner,N,N,N,InnerMixedSurroundedN,CN,0,1,0,2,2,0
11,de.java_chess.javaChess.GameController.computerPly()Z,R2,inner,N,N,N,InnerPureSurroundedN,CN,0,1,0,0,4,0
12,de.java_chess.javaChess.GameController.computerPly()Z,R3,inner,T,T,T,InnerPureSurroundedT,CT,1,0,0,4,0,0
13,de.java_chess.javaChess.GameController.computerPly()Z,R4,inner,N,N,N,InnerMixedSurroundedN,CN,0,1,0,2,2,0
14,de.java_chess.javaChess.GameController.computerPly()Z,R5,inner,T,T,T,InnerPureSurroundedT,CT,1,0,0,4,0,0
15,de.java_chess.javaChess.GameController.computerPly()Z,R6,inner,T,T,T,InnerPureSurroundedT,CT,1,0,0,4,0,0
16,de.java_chess.javaChess.GameController.computerPly()Z,R7,inner,N,N,N,InnerPureSurroundedN,CN,0,1,0,0,4,0
17,de.java_chess.javaChess.GameController.convertUserPly(Lde/java_chess/javaChess/ply/Ply;)Lde/java_chess/javaChess/ply/Ply;,R0,inner,T,T,T,InnerPureSurroundedT,CT,1,0,0,4,0,3
18,de.java_chess.javaChess.GameController.convertUserPly(Lde/java_chess/javaChess/ply/Ply;)Lde/java_chess/javaChess/ply/Ply;,R1,inner,N,N,N,InnerMixedSurroundedN,CN,0,1,0,3,1,3
19,de.java_chess.javaChess.GameController.convertUserPly(Lde/java_chess/javaChess/ply/Ply;)Lde/java_chess/javaChess/ply/Ply;,R2,inner,N,N,N,InnerPureSurroundedN,CN,0,1,0,0,4,3
20,de.java_chess.javaChess.GameController.convertUserPly(Lde/java_chess/javaChess/ply/Ply;)Lde/java_chess/javaChess/ply/Ply;,R3,inner,T,T,T,InnerMixedSurroundedT,CT,1,0,0,3,1,3
21,de.java_chess.javaChess.GameController.convertUserPly(Lde/java_chess/javaChess/ply/Ply;)Lde/java_chess/javaChess/ply/Ply;,R4,inner,N,N,N,InnerPureSurroundedN,CN,0,1,0,0,4,3
22,de.java_chess.javaChess.GameController.convertUserPly(Lde/java_chess/javaChess/ply/Ply;)Lde/java_chess/javaChess/ply/Ply;,R5,inner,T,T,T,InnerPureSurroundedT,CT,1,0,0,4,0,3
23,de.java_chess.javaChess.GameController.convertUserPly(Lde/java_chess/javaChess/ply/Ply;)Lde/java_chess/javaChess/ply/Ply;,R6,inner,T,T,T,InnerPureSurroundedT,CT,1,0,0,4,0,3
24,de.java_chess.javaChess.GameController.convertUserPly(Lde/java_chess/javaChess/ply/Ply;)Lde/java_chess/javaChess/ply/Ply;,R7,inner,N,N,N,InnerPureSurroundedN,CN,0,1,0,0,4,3
25,de.java_chess.javaChess.GameController.doPly(Lde/java_chess/javaChess/ply/Ply;)V,R0,inner,T,T,T,InnerMixedSurroundedT,CT,2,0,0,11,1,1
26,de.java_chess.javaChess.GameController.doPly(Lde/java_chess/javaChess/ply/Ply;)V,R1,inner,N,N,N,InnerMixedSurroundedN,CN,0,2,0,3,9,1
27,de.java_chess.javaChess.GameController.doPly(Lde/java_chess/javaChess/ply/Ply;)V,R2,inner,N,N,N,InnerPureSurroundedN,CN,0,2,0,0,12,1
28,de.java_chess.javaChess.GameController.doPly(Lde/java_chess/javaChess/ply/Ply;)V,R3,inner,T,T,T,InnerMixedSurroundedT,CT,2,0,0,9,3,1
29,de.java_chess.javaChess.GameController.doPly(Lde/java_chess/javaChess/ply/Ply;)V,R4,inner,N,N,N,InnerPureSurroundedN,CN,0,2,0,0,12,1
30,de.java_chess.javaChess.GameController.doPly(Lde/java_chess/javaChess/ply/Ply;)V,R5,inner,T,T,T,InnerPureSurroundedT,CT,2,0,0,12,0,1
31,de.java_chess.javaChess.GameController.doPly(Lde/java_chess/javaChess/ply/Ply;)V,R6,inner,T,T,T,InnerPureSurroundedT,CT,2,0,0,12,0,1
32,de.java_chess.javaChess.GameController.doPly(Lde/java_chess/javaChess/ply/Ply;)V,R7,inner,N,N,N,InnerPureSurroundedN,CN,0,2,0,0,12,1
33,de.java_chess.javaChess.GameController.gameOver(Z)Z,R0,inner,T,T,T,InnerPureSurroundedT,CT,1,0,0,2,0,0
34,de.java_chess.javaChess.GameController.gameOver(Z)Z,R1,inner,N,N,N,InnerMixedSurroundedN,CN,0,1,0,1,1,0
35,de.java_chess.javaChess.GameController.gameOver(Z)Z,R2,inner,N,N,N,InnerPureSurroundedN,CN,0,1,0,0,2,0
36,de.java_chess.javaChess.GameController.gameOver(Z)Z,R3,inner,T,T,T,InnerPureSurroundedT,CT,1,0,0,2,0,0
37,de.java_chess.javaChess.GameController.gameOver(Z)Z,R4,inner,N,N,N,InnerMixedSurroundedN,CN,0,1,0,1,1,0
38,de.java_chess.javaChess.GameController.gameOver(Z)Z,R5,inner,T,T,T,InnerPureSurroundedT,CT,1,0,0,2,0,0
39,de.java_chess.javaChess.GameController.gameOver(Z)Z,R6,inner,T,T,T,InnerPureSurroundedT,CT,1,0,0,2,0,0
40,de.java_chess.javaChess.GameController.gameOver(Z)Z,R7,inner,N,N,N,InnerPureSurroundedN,CN,0,1,0,0,2,0
41,de.java_chess.javaChess.GameController.getBoard()Lde/java_chess/javaChess/board/Board;,R0,leaf,T,T,T,LeafPureSurroundedT,CT,2,0,0,0,0,0
42,de.java_chess.javaChess.GameController.getBoard()Lde/java_chess/javaChess/board/Board;,R1,leaf,N,N,N,LeafPureSurroundedN,CN,0,2,0,0,0,0
43,de.java_chess.javaChess.GameController.getBoard()Lde/java_chess/javaChess/board/Board;,R2,leaf,N,N,N,LeafPureSurroundedN,CN,0,2,0,0,0,0
44,de.java_chess.javaChess.GameController.getBoard()Lde/java_chess/javaChess/board/Board;,R3,leaf,T,T,T,LeafPureSurroundedT,CT,2,0,0,0,0,0
45,de.java_chess.javaChess.GameController.getBoard()Lde/java_chess/javaChess/board/Board;,R4,leaf,N,N,N,LeafPureSurroundedN,CN,0,2,0,0,0,0
46,de.java_chess.javaChess.GameController.getBoard()Lde/java_chess/javaChess/board/Board;,R5,leaf,T,T,T,LeafPureSurroundedT,CT,2,0,0,0,0,0
47,de.java_chess.javaChess.GameController.getBoard()Lde/java_chess/javaChess/board/Board;,R6,leaf,T,T,T,LeafPureSurroundedT,CT,2,0,0,0,0,0
48,de.java_chess.javaChess.GameController.getBoard()Lde/java_chess/javaChess/board/Board;,R7,leaf,N,N,N,LeafPureSurroundedN,CN,0,2,0,0,0,0
49,de.java_chess.javaChess.GameController.getEngine()Lde/java_chess/javaChess/engine/ChessEngine;,R0,leaf,T,T,T,LeafPureSurroundedT,CT,3,0,0,0,0,0
50,de.java_chess.javaChess.GameController.getEngine()Lde/java_chess/javaChess/engine/ChessEngine;,R1,leaf,N,N,N,LeafMixedSurroundedN,CN,0,3,0,0,0,0
51,de.java_chess.javaChess.GameController.getEngine()Lde/java_chess/javaChess/engine/ChessEngine;,R2,leaf,N,N,N,LeafPureSurroundedN,CN,0,3,0,0,0,0
52,de.java_chess.javaChess.GameController.getEngine()Lde/java_chess/javaChess/engine/ChessEngine;,R3,leaf,T,T,T,LeafMixedSurroundedT,CT,3,0,0,0,0,0
53,de.java_chess.javaChess.GameController.getEngine()Lde/java_chess/javaChess/engine/ChessEngine;,R4,leaf,N,N,N,LeafPureSurroundedN,CN,0,3,0,0,0,0
54,de.java_chess.javaChess.GameController.getEngine()Lde/java_chess/javaChess/engine/ChessEngine;,R5,leaf,T,T,T,LeafPureSurroundedT,CT,3,0,0,0,0,0
55,de.java_chess.javaChess.GameController.getEngine()Lde/java_chess/javaChess/engine/ChessEngine;,R6,leaf,T,T,T,LeafPureSurroundedT,CT,3,0,0,0,0,0
56,de.java_chess.javaChess.GameController.getEngine()Lde/java_chess/javaChess/engine/ChessEngine;,R7,leaf,N,N,N,LeafPureSurroundedN,CN,0,3,0,0,0,0
57,de.java_chess.javaChess.GameController.getGame()Lde/java_chess/javaChess/game/Game;,R0,leaf,T,T,T,LeafPureSurroundedT,CT,1,0,0,0,0,0
58,de.java_chess.javaChess.GameController.getGame()Lde/java_chess/javaChess/game/Game;,R1,leaf,N,N,N,LeafPureSurroundedN,CN,0,1,0,0,0,0
59,de.java_chess.javaChess.GameController.getGame()Lde/java_chess/javaChess/game/Game;,R2,leaf,N,N,N,LeafPureSurroundedN,CN,0,1,0,0,0,0
60,de.java_chess.javaChess.GameController.getGame()Lde/java_chess/javaChess/game/Game;,R3,leaf,T,T,T,LeafPureSurroundedT,CT,1,0,0,0,0,0
61,de.java_chess.javaChess.GameController.getGame()Lde/java_chess/javaChess/game/Game;,R4,leaf,N,N,N,LeafPureSurroundedN,CN,0,1,0,0,0,0
62,de.java_chess.javaChess.GameController.getGame()Lde/java_chess/javaChess/game/Game;,R5,leaf,T,T,T,LeafPureSurroundedT,CT,1,0,0,0,0,0
63,de.java_chess.javaChess.GameController.getGame()Lde/java_chess/javaChess/game/Game;,R6,leaf,T,T,T,LeafPureSurroundedT,CT,1,0,0,0,0,0
64,de.java_chess.javaChess.GameController.getGame()Lde/java_chess/javaChess/game/Game;,R7,leaf,N,N,N,LeafPureSurroundedN,CN,0,1,0,0,0,0
65,de.java_chess.javaChess.GameController.getGameNotation()Lde/java_chess/javaChess/notation/GameNotation;,R0,leaf,T,T,T,LeafPureSurroundedT,CT,1,0,0,0,0,0
66,de.java_chess.javaChess.GameController.getGameNotation()Lde/java_chess/javaChess/notation/GameNotation;,R1,leaf,N,N,N,LeafPureSurroundedN,CN,0,1,0,0,0,0
67,de.java_chess.javaChess.GameController.getGameNotation()Lde/java_chess/javaChess/notation/GameNotation;,R2,leaf,N,N,N,LeafPureSurroundedN,CN,0,1,0,0,0,0
68,de.java_chess.javaChess.GameController.getGameNotation()Lde/java_chess/javaChess/notation/GameNotation;,R3,leaf,T,T,T,LeafPureSurroundedT,CT,1,0,0,0,0,0
69,de.java_chess.javaChess.GameController.getGameNotation()Lde/java_chess/javaChess/notation/GameNotation;,R4,leaf,N,N,N,LeafPureSurroundedN,CN,0,1,0,0,0,0
70,de.java_chess.javaChess.GameController.getGameNotation()Lde/java_chess/javaChess/notation/GameNotation;,R5,leaf,T,T,T,LeafPureSurroundedT,CT,1,0,0,0,0,0
71,de.java_chess.javaChess.GameController.getGameNotation()Lde/java_chess/javaChess/notation/GameNotation;,R6,leaf,T,T,T,LeafPureSurroundedT,CT,1,0,0,0,0,0
72,de.java_chess.javaChess.GameController.getGameNotation()Lde/java_chess/javaChess/notation/GameNotation;,R7,leaf,N,N,N,LeafPureSurroundedN,CN,0,1,0,0,0,0
73,de.java_chess.javaChess.GameController.getGameTimer()Lde/java_chess/javaChess/timer/GameTimer;,R0,leaf,T,T,T,LeafPureSurroundedT,CT,1,0,0,0,0,0
74,de.java_chess.javaChess.GameController.getGameTimer()Lde/java_chess/javaChess/timer/GameTimer;,R1,leaf,N,N,N,LeafPureSurroundedN,CN,0,1,0,0,0,0
75,de.java_chess.javaChess.GameController.getGameTimer()Lde/java_chess/javaChess/timer/GameTimer;,R2,leaf,N,N,N,LeafPureSurroundedN,CN,0,1,0,0,0,0
76,de.java_chess.javaChess.GameController.getGameTimer()Lde/java_chess/javaChess/timer/GameTimer;,R3,leaf,T,T,T,LeafPureSurroundedT,CT,1,0,0,0,0,0
77,de.java_chess.javaChess.GameController.getGameTimer()Lde/java_chess/javaChess/timer/GameTimer;,R4,leaf,N,N,N,LeafPureSurroundedN,CN,0,1,0,0,0,0
78,de.java_chess.javaChess.GameController.getGameTimer()Lde/java_chess/javaChess/timer/GameTimer;,R5,leaf,T,T,T,LeafPureSurroundedT,CT,1,0,0,0,0,0
79,de.java_chess.javaChess.GameController.getGameTimer()Lde/java_chess/javaChess/timer/GameTimer;,R6,leaf,T,T,T,LeafPureSurroundedT,CT,1,0,0,0,0,0
80,de.java_chess.javaChess.GameController.getGameTimer()Lde/java_chess/javaChess/timer/GameTimer;,R7,leaf,N,N,N,LeafPureSurroundedN,CN,0,1,0,0,0,0
81,de.java_chess.javaChess.GameController.getRenderer()Lde/java_chess/javaChess/renderer/ChessBoardRenderer;,R0,leaf,T,T,T,LeafPureSurroundedT,CT,1,0,0,0,0,0
82,de.java_chess.javaChess.GameController.getRenderer()Lde/java_chess/javaChess/renderer/ChessBoardRenderer;,R1,leaf,N,N,N,LeafPureSurroundedN,CN,0,1,0,0,0,0
83,de.java_chess.javaChess.GameController.getRenderer()Lde/java_chess/javaChess/renderer/ChessBoardRenderer;,R2,leaf,N,N,N,LeafPureSurroundedN,CN,0,1,0,0,0,0
84,de.java_chess.javaChess.GameController.getRenderer()Lde/java_chess/javaChess/renderer/ChessBoardRenderer;,R3,leaf,T,T,T,LeafPureSurroundedT,CT,1,0,0,0,0,0
85,de.java_chess.javaChess.GameController.getRenderer()Lde/java_chess/javaChess/renderer/ChessBoardRenderer;,R4,leaf,N,N,N,LeafPureSurroundedN,CN,0,1,0,0,0,0
86,de.java_chess.javaChess.GameController.getRenderer()Lde/java_chess/javaChess/renderer/ChessBoardRenderer;,R5,leaf,T,T,T,LeafPureSurroundedT,CT,1,0,0,0,0,0
87,de.java_chess.javaChess.GameController.getRenderer()Lde/java_chess/javaChess/renderer/ChessBoardRenderer;,R6,leaf,T,T,T,LeafPureSurroundedT,CT,1,0,0,0,0,0
88,de.java_chess.javaChess.GameController.getRenderer()Lde/java_chess/javaChess/renderer/ChessBoardRenderer;,R7,leaf,N,N,N,LeafPureSurroundedN,CN,0,1,0,0,0,0
